id,name,country,city,category,certification,status,year,floor_area_m2,summary,link
GB-001,Riverside Green Offices,South Africa,Johannesburg,Commercial office,EDGE Advanced,Completed,2023,18400,Retrofit of a 1990s office tower cutting measured energy use by 41 percent through envelope upgrades and a variable refrigerant flow system.,https://example.org/projects/gb-001
GB-002,Kigali Affordable Housing Phase 2,Rwanda,Kigali,Residential,EDGE Certified,Under construction,2025,26100,Six hundred affordable units using compressed earth block walls and rooftop solar water heating across all blocks.,https://example.org/projects/gb-002
GB-003,Coastal Teaching Hospital,Kenya,Mombasa,Healthcare,LEED Gold,Completed,2022,31250,Naturally ventilated ward blocks with a heat recovery plant serving theatre and laboratory zones.,https://example.org/projects/gb-003
GB-004,Ahmedabad Textile Park Retrofit,India,Ahmedabad,Industrial,EDGE Advanced,Completed,2024,54000,Process heat recovery and daylight redesign across eleven production sheds reducing grid draw by a third.,https://example.org/projects/gb-004
GB-005,Lagos Secondary School Cluster,Nigeria,Lagos,Education,EDGE Certified,Pipeline,2026,9800,Four school blocks designed for passive cooling with solar backup sized to run the science and computer rooms.,https://example.org/projects/gb-005
GB-006,Delta Logistics Cold Chain Hub,Vietnam,Can Tho,Industrial,LEED Silver,Under construction,2025,42700,Cold storage facility using ammonia refrigeration and a high performance envelope to cut cooling load.,https://example.org/projects/gb-006
GB-007,Bogota Municipal Library,Colombia,Bogota,Public building,EDGE Advanced,Completed,2021,7600,Mass timber structure with rainwater harvesting supplying all non potable demand on site.,https://example.org/projects/gb-007
GB-008,Nairobi Mixed Use Tower,Kenya,Nairobi,Mixed use,EDGE Zero Carbon,Under construction,2026,63400,Residential and retail tower targeting net zero operational carbon through rooftop and facade photovoltaics.,https://example.org/projects/gb-008
GB-009,Cebu Resort Water Programme,Philippines,Cebu,Hospitality,EDGE Certified,Completed,2023,15900,Greywater reuse and low flow retrofit across three resort properties cutting potable draw by 38 percent.,https://example.org/projects/gb-009
GB-010,Accra Market Redevelopment,Ghana,Accra,Public building,None,Pipeline,2027,12300,Open air market rebuild with high albedo roofing and shaded circulation designed to cut peak surface temperature.,https://example.org/projects/gb-010
